"seqn","age_years","age_group","sex","race_eth","educ_level","pir"
"136699","49","40-49","2","3","4","2.29"
"136700","16",NULL,"2","2",NULL,"2.61"
"136701","31","30-39","1","1","3","0.84"
"136702","68","60+","1","3","4","5"
"136703","44","40-49","2","7","1","5.397605346934028e-79"
"136704","4",NULL,"1","4",NULL,NULL
"136705","23","18-29","2","7","2","0.71"
"136706","63","60+","2","3","4","0.05"
"136707","43","40-49","2","4","4","1.39"
"136708","6",NULL,"1","3",NULL,"1.7"
"136709","45","40-49","1","1","1","0.91"
"136710","15",NULL,"1","1",NULL,"2.56"
"136711","15",NULL,"2","2",NULL,"0.77"
"136712","5",NULL,"1","2",NULL,NULL
"136713","73","60+","2","3","5","5"
"136714","20","18-29","2","1","3","1.74"
"136715","4",NULL,"1","1",NULL,"4.22"
"136716","67","60+","2","7","5",NULL
"136717","41","40-49","2","3","4","5"
"136718","60","60+","1","2","4","5"
"136719","3",NULL,"2","6",NULL,"0.92"
"136720","70","60+","2","3","5","5"
"136721","19","18-29","2","3",NULL,"2.13"
"136722","6",NULL,"2","3",NULL,"2.85"
"136723","62","60+","1","3","4","5"
"136724","75","60+","2","1","4","2.66"
"136725","1",NULL,"2","3",NULL,"3.52"
"136726","5.397605346934028e-79",NULL,"2","3",NULL,NULL
"136727","57","50-59","1","3","5","5"
"136728","55","50-59","2","3","4","1.67"
"136729","12",NULL,"2","6",NULL,"5"
"136730","62","60+","1","7","5","5"
"136731","31","30-39","2","1","5",NULL
"136732","7",NULL,"2","7",NULL,"5"
"136733","33","30-39","2","2","4","0.09"
"136734","35","30-39","1","1","3","1.13"
"136735","80","60+","2","3","3","2.02"
"136736","64","60+","2","6","5","5"
"136737","1",NULL,"2","1",NULL,"0.68"
"136738","33","30-39","1","7","3","1.47"
"136739","67","60+","2","3","4","5"
"136740","69","60+","2","2","3","4.37"
"136741","8",NULL,"2","7",NULL,"0.17"
"136742","13",NULL,"1","3",NULL,"4.83"
"136743","37","30-39","1","4","2","5.397605346934028e-79"
"136744","36","30-39","1","3","4","4.67"
"136745","38","30-39","1","3","5","5"
"136746","5.397605346934028e-79",NULL,"1","3",NULL,"4.45"
"136747","37","30-39","2","4","5","0.7"
"136748","69","60+","1","3","4","1.55"
"136749","2",NULL,"1","1",NULL,"0.91"
"136750","62","60+","1","3","5","5"
"136751","54","50-59","1","3","5","5"
"136752","73","60+","1","6","5","5"
"136753","18","18-29","1","7",NULL,"0.37"
"136754","80","60+","1","4","2","2.35"
"136755","18","18-29","2","4",NULL,"0.24"
"136756","10",NULL,"2","3",NULL,"4.68"
"136757","80","60+","2","3","4","1.72"
"136758","29","18-29","2","3","5","5"
"136759","47","40-49","1","3","3",NULL
"136760","73","60+","2","6","4","1.97"
"136761","61","60+","1","6","5","3.62"
"136762","33","30-39","1","4","3","0.64"
"136763","13",NULL,"1","3",NULL,"5"
"136764","5",NULL,"1","6",NULL,"3.97"
"136765","61","60+","1","7","3","5"
"136766","4",NULL,"1","3",NULL,"4.32"
"136767","1",NULL,"1","6",NULL,NULL
"136768","14",NULL,"2","3",NULL,"1.3"
"136769","7",NULL,"2","3",NULL,"5"
"136770","70","60+","2","3","5","3.55"
"136771","21","18-29","1","3","2","0.43"
"136772","14",NULL,"1","2",NULL,"0.46"
"136773","5",NULL,"1","2",NULL,"1.75"
"136774","19","18-29","2","3",NULL,"0.33"
"136775","8",NULL,"1","3",NULL,"2.83"
"136776","67","60+","1","3","3",NULL
"136777","80","60+","2","4","3","2.91"
"136778","53","50-59","1","3","4",NULL
"136779","58","50-59","2","3","5","5"
"136780","7",NULL,"1","6",NULL,"5"
"136781","25","18-29","2","6","3","0.92"
"136782","61","60+","2","2","5","1.34"
"136783","80","60+","2","3","4","5"
"136784","14",NULL,"2","6",NULL,"5"
"136785","61","60+","2","3","4","1.17"
"136786","16",NULL,"2","1",NULL,"1.8"
"136787","16",NULL,"2","3",NULL,"4.5"
"136788","68","60+","1","3","2","5"
"136789","72","60+","2","3","3","4.12"
"136790","5",NULL,"2","7",NULL,"2.26"
"136791","64","60+","2","3","5","4.92"
"136792","10",NULL,"1","2",NULL,NULL
"136793","12",NULL,"2","4",NULL,"1.93"
"136794","25","18-29","2","2","3","1.09"
"136795","25","18-29","2","3","5",NULL
"136796","68","60+","2","3","2",NULL
"136797","30","30-39","2","2","3","0.82"
"136798","51","50-59","2","6","5","5"
"136799","38","30-39","2","2","5","5"
"136800","62","60+","1","3","3","5"
"136801","64","60+","2","3","3","3.82"
"136802","53","50-59","2","3","3","2.61"
"136803","62","60+","1","3","4","3.33"
"136804","1",NULL,"2","7",NULL,"1.85"
"136805","3",NULL,"2","2",NULL,"0.97"
"136806","68","60+","1","2","4","1.32"
"136807","2",NULL,"1","3",NULL,"0.97"
"136808","27","18-29","2","3","3",NULL
"136809","69","60+","1","3","2",NULL
"136810","73","60+","2","3","3","1.69"
"136811","1",NULL,"1","3",NULL,"1.6"
"136812","65","60+","2","3","5","5"
"136813","13",NULL,"1","4",NULL,"0.02"
"136814","56","50-59","2","1","2","4.34"
"136815","44","40-49","1","7","3","3.16"
"136816","15",NULL,"2","3",NULL,"2.31"
"136817","32","30-39","2","2","2","3.92"
"136818","46","40-49","2","3","5","3.33"
"136819","14",NULL,"1","1",NULL,NULL
"136820","77","60+","1","3","3","2.48"
"136821","18","18-29","1","4",NULL,"1.15"
"136822","34","30-39","2","7","4","2.52"
"136823","73","60+","1","3","4","3.93"
"136824","11",NULL,"1","3",NULL,"1.37"
"136825","48","40-49","2","3","4","5"
"136826","64","60+","2","3","4","1.84"
"136827","54","50-59","1","3","4","5"
"136828","60","60+","2","3","4","0.99"
"136829","76","60+","2","1","3",NULL
"136830","5",NULL,"2","4",NULL,"0.02"
"136831","43","40-49","2","1","2","2"
"136832","72","60+","1","3","4","4.32"
"136833","19","18-29","2","3",NULL,NULL
"136834","76","60+","1","3","5",NULL
"136835","62","60+","2","3","4","3.14"
"136836","71","60+","2","3","5","5"
"136837","71","60+","2","3","3","1.13"
"136838","68","60+","1","3","5","4.37"
"136839","61","60+","2","1","3","1.51"
"136840","54","50-59","1","3","5","4.27"
"136841","1",NULL,"1","6",NULL,"1.7"
"136842","15",NULL,"1","1",NULL,"1.08"
"136843","7",NULL,"2","3",NULL,"2.7"
"136844","6",NULL,"1","3",NULL,"3.6"
"136845","2",NULL,"1","4",NULL,"0.58"
"136846","14",NULL,"2","6",NULL,"0.63"
"136847","25","18-29","1","3","4","2.94"
"136848","30","30-39","2","3","4","0.4"
"136849","53","50-59","1","3","3","2.41"
"136850","18","18-29","1","3",NULL,"0.91"
"136851","5.397605346934028e-79",NULL,"1","2",NULL,NULL
"136852","26","18-29","2","6","5","5"
"136853","75","60+","2","4","4","1.28"
"136854","36","30-39","1","4","4",NULL
"136855","20","18-29","2","6","3","3.22"
"136856","44","40-49","1","4","3","5"
"136857","2",NULL,"2","3",NULL,"3.41"
"136858","15",NULL,"1","2",NULL,"0.45"
"136859","27","18-29","1","7","4","5"
"136860","15",NULL,"2","1",NULL,"1.73"
"136861","15",NULL,"1","7",NULL,"1.08"
"136862","74","60+","1","7","2","0.79"
"136863","4",NULL,"2","7",NULL,"3.33"
"136864","72","60+","2","6","4",NULL
"136865","72","60+","1","3","3","4.41"
"136866","25","18-29","1","7","4",NULL
"136867","17",NULL,"1","4",NULL,NULL
"136868","41","40-49","1","4","1",NULL
"136869","10",NULL,"2","3",NULL,"3.9"
"136870","53","50-59","2","4","4","1.59"
"136871","5",NULL,"1","3",NULL,"2.29"
"136872","26","18-29","1","3","3","3.3"
"136873","12",NULL,"1","1",NULL,"0.58"
"136874","46","40-49","2","2","5","5"
"136875","16",NULL,"2","3",NULL,"1.42"
"136876","12",NULL,"1","6",NULL,"5"
"136877","15",NULL,"1","2",NULL,"0.3"
"136878","41","40-49","1","3","5","5"
"136879","27","18-29","1","4","4","0.26"
"136880","27","18-29","1","3","5","2.58"
"136881","39","30-39","2","4","4","3.04"
"136882","28","18-29","2","3","5","2.33"
"136883","32","30-39","2","3","5","2.61"
"136884","30","30-39","1","3","4","3.17"
"136885","12",NULL,"1","3",NULL,"1.19"
"136886","1",NULL,"2","2",NULL,"3.6"
"136887","25","18-29","1","2","4","3.26"
"136888","21","18-29","1","3","4","0.99"
"136889","14",NULL,"2","7",NULL,"5"
"136890","62","60+","2","3","5","5"
"136891","31","30-39","1","3","4","1.99"
"136892","79","60+","2","3","4",NULL
