"seqn","age_years","age_group","sex","race_eth","educ_level","pir"
"131779","6",NULL,"1","4",NULL,"0.61"
"131780","42","40-49","2","3","3",NULL
"131781","8",NULL,"1","2",NULL,"0.49"
"131782","33","30-39","2","3","5","3.96"
"131783","48","40-49","2","3","4","4.1"
"131784","8",NULL,"2","1",NULL,"2.77"
"131785","35","30-39","1","3","5","5"
"131786","28","18-29","1","4","4","5"
"131787","61","60+","1","4","4","1.84"
"131788","19","18-29","1","3",NULL,"0.93"
"131789","38","30-39","1","1","2","5"
"131790","45","40-49","1","2","5","2.82"
"131791","55","50-59","1","1","5","1.27"
"131792","18","18-29","1","2",NULL,"2.96"
"131793","5",NULL,"2","3",NULL,"0.43"
"131794","10",NULL,"2","1",NULL,"1.42"
"131795","59","50-59","1","4","4",NULL
"131796","75","60+","2","7","5","1.93"
"131797","58","50-59","1","6","5","4.02"
"131798","53","50-59","2","2","2","2.89"
"131799","49","40-49","2","4","3","1.94"
"131800","54","50-59","2","3","4","2.15"
"131801","56","50-59","1","4","3","0.65"
"131802","45","40-49","2","3","5","5"
"131803","46","40-49","2","3","4","5"
"131804","40","40-49","2","3","5","5"
"131805","43","40-49","1","3","4","0.84"
"131806","58","50-59","1","2","4",NULL
"131807","70","60+","2","3","4","0.77"
"131808","72","60+","1","3","5","5"
"131809","12",NULL,"1","4",NULL,"0.09"
"131810","8",NULL,"1","3",NULL,"0.63"
"131811","1",NULL,"1","2",NULL,NULL
"131812","25","18-29","1","3","5","1.4"
"131813","80","60+","2","1","3",NULL
"131814","45","40-49","1","7","1","5"
"131815","8",NULL,"2","3",NULL,"0.53"
"131816","31","30-39","2","3","5","5"
"131817","51","50-59","1","3","5",NULL
"131818","2",NULL,"1","4",NULL,"1.85"
"131819","10",NULL,"2","6",NULL,NULL
"131820","4",NULL,"1","3",NULL,"2.85"
"131821","5",NULL,"1","3",NULL,"1.99"
"131822","70","60+","1","3","5","5"
"131823","65","60+","2","4","5","5"
"131824","74","60+","2","3","2","5"
"131825","7",NULL,"1","2",NULL,"0.01"
"131826","21","18-29","2","3","4","0.82"
"131827","52","50-59","1","3","5","1.78"
"131828","43","40-49","2","1","2","1.64"
"131829","75","60+","2","4","5","1.52"
"131830","14",NULL,"2","7",NULL,"5"
"131831","69","60+","2","3","4","1.92"
"131832","12",NULL,"1","2",NULL,NULL
"131833","55","50-59","2","7","4","4.59"
"131834","1",NULL,"1","7",NULL,"0.88"
"131835","30","30-39","1","4","3",NULL
"131836","12",NULL,"2","3",NULL,"1.61"
"131837","59","50-59","1","1","5","3.55"
"131838","47","40-49","1","7","1","0.77"
"131839","7",NULL,"2","2",NULL,"3.6"
"131840","16",NULL,"2","6",NULL,"3.33"
"131841","62","60+","1","3","3","4.1"
"131842","25","18-29","1","3","5","4.42"
"131843","4",NULL,"1","3",NULL,NULL
"131844","40","40-49","2","1","5","2.09"
"131845","13",NULL,"2","1",NULL,"0.8"
"131846","8",NULL,"1","1",NULL,"0.86"
"131847","7",NULL,"2","4",NULL,"5"
"131848","18","18-29","1","1",NULL,"2.71"
"131849","61","60+","1","3","4","3.86"
"131850","73","60+","2","3","3","1"
"131851","53","50-59","2","3","5","5"
"131852","20","18-29","1","2","2","5.397605346934028e-79"
"131853","69","60+","2","3","3","4.37"
"131854","28","18-29","1","2","3","3.98"
"131855","19","18-29","1","6",NULL,"5"
"131856","65","60+","2","3","5","2"
"131857","8",NULL,"1","3",NULL,NULL
"131858","5",NULL,"2","4",NULL,"1.85"
"131859","9",NULL,"1","3",NULL,"5"
"131860","25","18-29","1","4","5",NULL
"131861","8",NULL,"2","7",NULL,"0.95"
"131862","34","30-39","2","3","4","2.77"
"131863","52","50-59","2","1","4",NULL
"131864","64","60+","1","3","3","5"
"131865","9",NULL,"2","3",NULL,"2.03"
"131866","17",NULL,"2","2",NULL,NULL
"131867","22","18-29","2","1","4","2.82"
"131868","71","60+","2","3","5","1.54"
"131869","25","18-29","2","2","2","0.72"
"131870","63","60+","1","3","4","3.3"
"131871","26","18-29","2","3","4","1.01"
"131872","63","60+","1","4","2","0.82"
"131873","16",NULL,"2","3",NULL,"0.98"
"131874","41","40-49","1","3","5","5"
"131875","33","30-39","2","3","3","1.91"
"131876","38","30-39","2","3","5","5"
"131877","70","60+","2","3","5","4.93"
"131878","12",NULL,"1","3",NULL,"3.96"
"131879","60","60+","1","7","3",NULL
"131880","27","18-29","1","4","3","0.62"
"131881","4",NULL,"1","2",NULL,"1.8"
"131882","6",NULL,"1","4",NULL,NULL
"131883","76","60+","1","3","3","1.64"
"131884","66","60+","1","3","5","4.83"
"131885","9",NULL,"1","7",NULL,"1.14"
"131886","6",NULL,"1","7",NULL,"5"
"131887","77","60+","1","3","5","3.58"
"131888","28","18-29","1","4","3","1.94"
"131889","71","60+","1","3","4","2.44"
"131890","80","60+","2","3","4","1.41"
"131891","32","30-39","2","6","5","2.61"
"131892","69","60+","1","2","3","3.24"
"131893","17",NULL,"1","4",NULL,"0.61"
"131894","39","30-39","1","3","4","5"
"131895","2",NULL,"1","7",NULL,"2.39"
"131896","4",NULL,"1","3",NULL,"2.93"
"131897","14",NULL,"2","4",NULL,NULL
"131898","71","60+","2","2","2","3.69"
"131899","80","60+","2","3","4","2.33"
"131900","8",NULL,"2","4",NULL,"2.32"
"131901","31","30-39","1","4","4",NULL
"131902","61","60+","1","3","4","3.49"
"131903","64","60+","2","7","4",NULL
"131904","25","18-29","1","3","4","1.59"
"131905","35","30-39","1","3","4","0.81"
"131906","60","60+","2","3","5","0.96"
"131907","13",NULL,"1","7",NULL,"0.68"
"131908","12",NULL,"2","3",NULL,NULL
"131909","59","50-59","2","3","5","3.6"
"131910","15",NULL,"1","3",NULL,"5"
"131911","37","30-39","1","4","3","0.96"
"131912","60","60+","2","2","3","1.91"
"131913","80","60+","1","4","3",NULL
"131914","16",NULL,"1","4",NULL,"3.13"
"131915","32","30-39","1","4","3","2.69"
"131916","18","18-29","1","1",NULL,NULL
"131917","59","50-59","2","3","3",NULL
"131918","9",NULL,"1","3",NULL,"3.6"
"131919","3",NULL,"1","2",NULL,"0.16"
"131920","12",NULL,"1","6",NULL,"5"
"131921","47","40-49","1","3","5",NULL
"131922","38","30-39","1","2","5","0.55"
"131923","63","60+","1","4","3","1.4"
"131924","30","30-39","2","1","3","0.86"
"131925","8",NULL,"1","4",NULL,"0.56"
"131926","59","50-59","1","3","4","4.83"
"131927","3",NULL,"1","3",NULL,"1"
"131928","62","60+","1","1","5","3.91"
"131929","53","50-59","2","4","3","1.32"
"131930","26","18-29","2","1","4","0.68"
"131931","62","60+","2","2","3",NULL
"131932","75","60+","1","3","1","0.75"
"131933","6",NULL,"2","7",NULL,"0.65"
"131934","47","40-49","1","3","4","0.33"
"131935","4",NULL,"1","1",NULL,"3.08"
"131936","80","60+","2","3","3","2.87"
"131937","72","60+","2","3","5","0.96"
"131938","22","18-29","2","3","4",NULL
"131939","67","60+","2","3","5","5"
"131940","65","60+","2","3","4","4.34"
"131941","4",NULL,"2","4",NULL,"1.09"
"131942","48","40-49","2","3","5","0.96"
"131943","47","40-49","1","3","4",NULL
"131944","59","50-59","2","3","5","4.12"
"131945","58","50-59","1","4","2","1.43"
"131946","77","60+","2","3","3","3.96"
"131947","26","18-29","1","7","5","3.22"
"131948","34","30-39","2","3","5","4.33"
"131949","16",NULL,"1","3",NULL,"5"
"131950","5.397605346934028e-79",NULL,"2","3",NULL,"2.85"
"131951","69","60+","1","3","3","2.57"
"131952","7",NULL,"1","2",NULL,"0.52"
"131953","1",NULL,"2","3",NULL,"2.31"
"131954","53","50-59","1","4","3","0.81"
"131955","29","18-29","2","2","3","0.35"
"131956","50","50-59","2","3","2",NULL
"131957","9",NULL,"1","3",NULL,"0.94"
"131958","20","18-29","1","2","4","0.7"
"131959","70","60+","2","4","4",NULL
"131960","16",NULL,"1","1",NULL,"1.6"
"131961","1",NULL,"1","3",NULL,NULL
"131962","44","40-49","2","1","1",NULL
"131963","5",NULL,"2","2",NULL,"0.02"
"131964","3",NULL,"2","2",NULL,NULL
"131965","63","60+","1","3","3","2.21"
"131966","14",NULL,"1","3",NULL,"2.96"
"131967","71","60+","1","3","4","3.09"
"131968","72","60+","2","3","4","1.84"
"131969","5.397605346934028e-79",NULL,"2","1",NULL,"5"
"131970","76","60+","2","4","3","1.76"
"131971","80","60+","1","3","4","1.51"
"131972","26","18-29","2","4","5","1.51"
"131973","1",NULL,"1","2",NULL,"0.8"
"131974","34","30-39","2","7","5","3.26"
"131975","70","60+","1","6","5","5"
"131976","70","60+","2","3","4","1.86"
"131977","17",NULL,"1","4",NULL,NULL
"131978","3",NULL,"2","3",NULL,"3.27"
"131979","37","30-39","1","6","5","4.32"
"131980","3",NULL,"2","4",NULL,NULL
"131981","42","40-49","2","7","4",NULL
"131982","11",NULL,"1","7",NULL,"0.1"
"131983","7",NULL,"1","6",NULL,NULL
"131984","34","30-39","1","6","5","5"
"131985","44","40-49","2","3","5",NULL
"131986","8",NULL,"1","3",NULL,"3.47"
"131987","19","18-29","1","3",NULL,"2.73"
"131988","71","60+","2","3","4","4.69"
"131989","3",NULL,"2","6",NULL,"3.97"
"131990","50","50-59","1","3","5","2.58"
"131991","71","60+","2","4","4","1.06"
"131992","73","60+","2","3","5","3.3"
"131993","10",NULL,"2","4",NULL,"0.93"
"131994","3",NULL,"1","3",NULL,"5"
"131995","9",NULL,"2","6",NULL,NULL
"131996","5",NULL,"1","7",NULL,"4.59"
"131997","69","60+","1","3","2","0.62"
"131998","55","50-59","2","3","4",NULL
"131999","19","18-29","2","3",NULL,"1.52"
"132000","67","60+","2","1","1","5.397605346934028e-79"
"132001","64","60+","1","3","4","5"
"132002","3",NULL,"1","4",NULL,"4.55"
"132003","69","60+","1","3","5","1.64"
"132004","6",NULL,"1","1",NULL,"1.05"
"132005","12",NULL,"1","3",NULL,"1.17"
"132006","16",NULL,"2","7",NULL,"1.51"
"132007","53","50-59","1","3","2","2.73"
"132008","63","60+","2","4","5","0.93"
"132009","55","50-59","2","2","5",NULL
"132010","32","30-39","2","3","5","5"
"132011","24","18-29","1","3","5",NULL
"132012","7",NULL,"2","4",NULL,"0.23"
"132013","6",NULL,"2","3",NULL,"5"
"132014","54","50-59","2","3","5","1.32"
"132015","6",NULL,"1","1",NULL,"1.21"
"132016","16",NULL,"1","2",NULL,NULL
"132017","53","50-59","2","3","5","5"
"132018","60","60+","2","3","3","5"
"132019","14",NULL,"1","7",NULL,"3.58"
"132020","4",NULL,"2","2",NULL,"0.75"
"132021","62","60+","1","3","5","5"
"132022","9",NULL,"2","6",NULL,NULL
"132023","5.397605346934028e-79",NULL,"1","3",NULL,"0.45"
"132024","18","18-29","2","3",NULL,"0.07"
"132025","68","60+","2","3","2",NULL
"132026","80","60+","2","3","5","5"
"132027","12",NULL,"2","3",NULL,"2.92"
"132028","44","40-49","2","3","5","2.92"
"132029","56","50-59","2","3","4","1.95"
"132030","68","60+","1","7","5","5"
"132031","76","60+","2","3","3","2.58"
"132032","52","50-59","1","3","4","5"
"132033","39","30-39","1","2","1","3"
"132034","9",NULL,"2","3",NULL,NULL
"132035","73","60+","1","3","5",NULL
"132036","79","60+","1","1","1",NULL
"132037","65","60+","1","1","4","5"
"132038","71","60+","2","1","1","0.96"
"132039","4",NULL,"1","3",NULL,"0.48"
"132040","5.397605346934028e-79",NULL,"2","3",NULL,"2.39"
"132041","38","30-39","1","2","5","2.92"
"132042","2",NULL,"2","4",NULL,NULL
"132043","22","18-29","1","3","5","2.19"
"132044","80","60+","1","3","3","0.88"
"132045","30","30-39","1","1","5","5"
"132046","72","60+","1","3","5","5"
"132047","8",NULL,"1","1",NULL,"3.54"
"132048","13",NULL,"2","1",NULL,"0.74"
"132049","70","60+","1","3","5","3.8"
"132050","14",NULL,"2","1",NULL,"1.44"
"132051","16",NULL,"1","2",NULL,"1.1"
"132052","10",NULL,"1","3",NULL,"5"
"132053","34","30-39","1","3","5","5"
"132054","80","60+","1","2",NULL,NULL
"132055","76","60+","2","3","5","5"
"132056","65","60+","2","1","1","1.26"
"132057","2",NULL,"1","1",NULL,"1.98"
"132058","61","60+","1","3","5","5"
"132059","37","30-39","2","4","5","0.88"
"132060","21","18-29","1","7","2","5"
"132061","70","60+","1","3","4","4.12"
"132062","60","60+","1","3","3","5"
"132063","80","60+","1","2","1","0.41"
"132064","28","18-29","1","7","5","5"
"132065","79","60+","2","6","2",NULL
"132066","9",NULL,"2","3",NULL,"0.65"
"132067","30","30-39","1","3","5","3.43"
"132068","14",NULL,"1","7",NULL,"0.83"
"132069","13",NULL,"1","6",NULL,"0.85"
"132070","10",NULL,"2","1",NULL,"0.58"
"132071","51","50-59","2","3","5","5"
"132072","58","50-59","1","3","2","2.47"
"132073","79","60+","1","3","3","2.46"
"132074","47","40-49","1","3","4","1.97"
"132075","69","60+","1","6","3","1.13"
"132076","5.397605346934028e-79",NULL,"1","1",NULL,"2.28"
"132077","80","60+","1","3","4","2.03"
"132078","8",NULL,"2","2",NULL,"0.02"
"132079","61","60+","2","4","4","5"
"132080","80","60+","2","3","3","1.52"
"132081","32","30-39","1","3","4","1.42"
"132082","16",NULL,"1","4",NULL,NULL
"132083","7",NULL,"2","3",NULL,"1.16"
"132084","8",NULL,"1","3",NULL,"5"
"132085","65","60+","2","4","3",NULL
"132086","4",NULL,"2","7",NULL,"0.3"
"132087","59","50-59","2","6","3",NULL
"132088","73","60+","2","1","2","0.82"
"132089","18","18-29","1","6",NULL,"3.7"
"132090","29","18-29","2","3","5","3.09"
"132091","5.397605346934028e-79",NULL,"2","7",NULL,"5"
"132092","52","50-59","1","2","1","0.74"
"132093","60","60+","2","3","4","5"
"132094","8",NULL,"1","4",NULL,"2.46"
"132095","70","60+","2","3","5","2.41"
"132096","58","50-59","2","3","5",NULL
"132097","48","40-49","2","3","4","4.02"
"132098","49","40-49","2","3","3","3.06"
"132099","61","60+","1","1","1","1.12"
"132100","14",NULL,"1","3",NULL,"2.41"
"132101","52","50-59","1","3","5","5"
"132102","43","40-49","2","3","4","4.02"
"132103","4",NULL,"2","2",NULL,"5"
"132104","14",NULL,"2","3",NULL,"2.56"
"132105","80","60+","2","3","1","0.93"
"132106","7",NULL,"1","4",NULL,"1.09"
"132107","54","50-59","2","1","1","0.74"
"132108","10",NULL,"2","3",NULL,NULL
"132109","75","60+","2","3","3","1.78"
"132110","51","50-59","1","3","3","2.21"
"132111","31","30-39","1","3","4",NULL
"132112","31","30-39","2","6","5","5"
"132113","31","30-39","1","2","4","2.18"
"132114","74","60+","1","4","4",NULL
"132115","4",NULL,"1","4",NULL,NULL
"132116","40","40-49","2","2","5","4"
"132117","80","60+","1","2","9","0.18"
"132118","78","60+","2","2","2",NULL
"132119","37","30-39","1","3","4","4.59"
"132120","1",NULL,"2","3",NULL,"4.68"
"132121","80","60+","2","3","1","0.62"
"132122","73","60+","2","3","5","5"
"132123","55","50-59","1","6","1",NULL
"132124","42","40-49","2","7","3",NULL
"132125","66","60+","2","4","5","2.39"
"132126","26","18-29","1","3","3",NULL
"132127","30","30-39","1","3","5","1.12"
"132128","14",NULL,"1","3",NULL,"5"
"132129","10",NULL,"1","3",NULL,"0.4"
"132130","34","30-39","1","3","4","2.85"
"132131","6",NULL,"2","3",NULL,"4.32"
"132132","31","30-39","2","7","3",NULL
"132133","9",NULL,"2","3",NULL,"5"
"132134","74","60+","2","7","5","4.56"
"132135","50","50-59","1","1","4","2.58"
"132136","40","40-49","1","6",NULL,NULL
"132137","43","40-49","1","7","5","2.96"
"132138","22","18-29","2","3","3",NULL
"132139","6",NULL,"2","1",NULL,"0.57"
"132140","1",NULL,"2","4",NULL,"1.29"
"132141","56","50-59","2","4","5","4.8"
"132142","13",NULL,"2","2",NULL,NULL
"132143","22","18-29","2","2","4","0.63"
"132144","30","30-39","2","3","5","2.09"
"132145","59","50-59","2","3","4","3.28"
"132146","16",NULL,"2","6",NULL,"5"
"132147","58","50-59","2","7","5","5.397605346934028e-79"
"132148","80","60+","2","3","3","4.36"
"132149","73","60+","1","7","3","3.28"
"132150","56","50-59","1","3","5","5"
"132151","61","60+","2","3","5","5"
"132152","73","60+","1","3","4","1.3"
"132153","30","30-39","1","4","3","1.18"
"132154","35","30-39","1","3","3","3.12"
"132155","25","18-29","2","7","4","3.86"
"132156","7",NULL,"1","1",NULL,"1.71"
"132157","4",NULL,"2","1",NULL,"1.99"
"132158","80","60+","2","6","3","1.26"
"132159","68","60+","1","3","3","5"
"132160","15",NULL,"1","3",NULL,"0.57"
"132161","3",NULL,"1","3",NULL,"5"
"132162","34","30-39","2","4","4","1.09"
"132163","6",NULL,"2","1",NULL,"2.03"
"132164","4",NULL,"1","2",NULL,"0.13"
"132165","26","18-29","1","3","5","5"
"132166","14",NULL,"1","2",NULL,"5"
"132167","55","50-59","2","2","3",NULL
"132168","18","18-29","1","2",NULL,"3.83"
"132169","80","60+","1","3","5","3.08"
"132170","29","18-29","2","3","4",NULL
"132171","35","30-39","2","3","4","0.73"
"132172","19","18-29","1","3",NULL,"0.4"
"132173","1",NULL,"1","7",NULL,"5"
"132174","70","60+","2","3","4","1.77"
"132175","10",NULL,"2","2",NULL,"0.77"
"132176","36","30-39","2","4","2","0.48"
"132177","28","18-29","1","3","4","2.9"
"132178","67","60+","1","3","3","0.7"
"132179","17",NULL,"1","3",NULL,"5"
"132180","51","50-59","2","3","5","5"
"132181","55","50-59","1","3","5","5"
"132182","66","60+","1","7","2","0.83"
"132183","16",NULL,"2","4",NULL,NULL
"132184","10",NULL,"1","2",NULL,NULL
"132185","39","30-39","2","7","5","3.55"
"132186","80","60+","2","3","4",NULL
"132187","5",NULL,"2","2",NULL,"1.09"
"132188","29","18-29","2","2","1","0.02"
"132189","63","60+","1","3","2","1.69"
"132190","69","60+","2","3","4","3.04"
"132191","15",NULL,"1","4",NULL,"2.18"
"132192","12",NULL,"2","1",NULL,NULL
"132193","12",NULL,"1","3",NULL,"0.43"
"132194","36","30-39","1","4","3","0.69"
"132195","14",NULL,"1","3",NULL,"3.08"
"132196","75","60+","2","3","3","2.51"
"132197","70","60+","2","1","4","2.82"
"132198","62","60+","2","3","3","4.67"
"132199","12",NULL,"2","4",NULL,"2.96"
"132200","13",NULL,"2","2",NULL,"1.23"
"132201","74","60+","2","3","5","5"
"132202","31","30-39","2","6","5","5"
"132203","70","60+","1","1","5","1.75"
"132204","34","30-39","2","4","4","1.85"
"132205","4",NULL,"1","2",NULL,"5"
"132206","21","18-29","1","1","4","3.97"
"132207","21","18-29","1","1","3","1.08"
"132208","6",NULL,"1","3",NULL,"5"
"132209","80","60+","1","3","4","2.88"
"132210","4",NULL,"2","3",NULL,"3.33"
"132211","68","60+","2","3","2","0.79"
"132212","13",NULL,"2","7",NULL,"5"
"132213","30","30-39","2","3","3",NULL
"132214","76","60+","1","4","2","2.61"
"132215","39","30-39","2","4","4","2.88"
"132216","10",NULL,"1","3",NULL,"1.67"
"132217","41","40-49","2","1","3","1.92"
"132218","66","60+","2","3","5",NULL
"132219","53","50-59","1","1","3","2.56"
"132220","42","40-49","1","3","3","1.92"
"132221","52","50-59","1","3","4","1.49"
"132222","27","18-29","1","7","4",NULL
"132223","57","50-59","1","3","4",NULL
"132224","54","50-59","2","3","5","2.65"
"132225","62","60+","1","7","4",NULL
"132226","36","30-39","1","7","3","3.46"
"132227","8",NULL,"1","3",NULL,"1.2"
"132228","16",NULL,"2","6",NULL,NULL
"132229","69","60+","2","7","4","1.8"
"132230","11",NULL,"1","4",NULL,NULL
"132231","29","18-29","1","7","1","1.4"
"132232","1",NULL,"2","3",NULL,"0.65"
"132233","40","40-49","1","3","4","3.71"
"132234","11",NULL,"2","3",NULL,"0.4"
"132235","80","60+","1","3","5","1.62"
"132236","31","30-39","2","3","4","1.05"
"132237","76","60+","1","3","5","3.9"
"132238","5",NULL,"2","3",NULL,"3.91"
"132239","35","30-39","1","4","3","0.82"
"132240","33","30-39","1","4","4","3.31"
"132241","26","18-29","1","6","4","1"
"132242","7",NULL,"2","2",NULL,"1.26"
"132243","61","60+","2","3","5","5"
"132244","3",NULL,"1","6",NULL,"1.05"
"132245","61","60+","2","4","4","2.33"
"132246","14",NULL,"1","3",NULL,"0.84"
"132247","11",NULL,"1","3",NULL,"5"
"132248","45","40-49","1","4","4","1.23"
"132249","4",NULL,"2","7",NULL,NULL
"132250","32","30-39","1","2","4",NULL
"132251","44","40-49","1","3","5","5"
"132252","24","18-29","1","2","5","5"
"132253","13",NULL,"2","3",NULL,"2.86"
"132254","4",NULL,"2","6",NULL,"5"
"132255","10",NULL,"2","4",NULL,"0.01"
"132256","31","30-39","2","4","4","1.33"
"132257","2",NULL,"1","3",NULL,NULL
"132258","62","60+","1","3","3","1.03"
"132259","72","60+","1","3","4","5"
"132260","29","18-29","2","3","5","4.94"
"132261","80","60+","1","7","3","4.34"
"132262","60","60+","2","3","3","3.32"
"132263","10",NULL,"2","4",NULL,NULL
"132264","42","40-49","1","2","1",NULL
"132265","1",NULL,"2","3",NULL,"0.84"
"132266","2",NULL,"1","3",NULL,"4.67"
"132267","80","60+","2","4","5","2.87"
"132268","6",NULL,"2","1",NULL,"1.55"
"132269","29","18-29","1","3","5","5"
"132270","17",NULL,"1","2",NULL,"5.397605346934028e-79"
"132271","61","60+","2","3","3","1.82"
"132272","67","60+","1","3","5",NULL
"132273","21","18-29","2","4","4","0.65"
"132274","80","60+","2","3","3",NULL
"132275","46","40-49","1","3","4","5"
"132276","25","18-29","1","3","5","4.1"
"132277","68","60+","2","3","5","5"
"132278","69","60+","1","7","5","4.92"
"132279","9",NULL,"1","2",NULL,NULL
"132280","58","50-59","2","3","5","5"
"132281","33","30-39","2","3","4","2.73"
"132282","28","18-29","2","6","5",NULL
"132283","71","60+","1","3","5","3.38"
"132284","76","60+","2","4","4","1.69"
"132285","5.397605346934028e-79",NULL,"2","4",NULL,NULL
"132286","26","18-29","1","6","5","4.42"
"132287","61","60+","1","3","3",NULL
"132288","78","60+","1","4","5","2.06"
"132289","62","60+","2","2","1","0.82"
"132290","10",NULL,"2","2",NULL,NULL
"132291","75","60+","1","3","4","2.03"
"132292","60","60+","2","6","4",NULL
"132293","1",NULL,"1","3",NULL,"2.09"
"132294","28","18-29","1","3","4","0.29"
"132295","62","60+","2","1","3","1.23"
"132296","68","60+","2","3","4","0.88"
"132297","51","50-59","2","3","1","0.79"
"132298","18","18-29","2","3",NULL,"5"
"132299","3",NULL,"1","3",NULL,"5"
"132300","65","60+","1","3","1",NULL
"132301","80","60+","1","7","3",NULL
"132302","74","60+","2","3","5",NULL
"132303","76","60+","1","3","5","2.03"
"132304","18","18-29","1","3",NULL,"1.67"
"132305","62","60+","1","3","3","3.39"
"132306","9",NULL,"1","4",NULL,"0.14"
"132307","15",NULL,"1","2",NULL,"1.57"
"132308","16",NULL,"1","2",NULL,"0.62"
"132309","21","18-29","2","3","4","3.13"
"132310","47","40-49","2","2","3","0.52"
"132311","51","50-59","1","3","3","0.79"
"132312","27","18-29","2","7","5","5"
"132313","2",NULL,"1","7",NULL,"0.92"
"132314","22","18-29","2","4","3","1.85"
"132315","66","60+","1","6","4","1.38"
"132316","21","18-29","2","3","2","0.21"
"132317","75","60+","1","2","4",NULL
"132318","55","50-59","2","3","5","5"
"132319","13",NULL,"2","3",NULL,"3.68"
"132320","31","30-39","1","3","5","5"
"132321","19","18-29","1","3",NULL,"0.26"
"132322","14",NULL,"2","3",NULL,"5"
"132323","38","30-39","1","6","5","4.45"
"132324","74","60+","2","3","3","1.61"
"132325","40","40-49","1","3","5","3.42"
"132326","15",NULL,"2","6",NULL,NULL
"132327","5",NULL,"1","4",NULL,"0.5"
"132328","5",NULL,"2","1",NULL,NULL
"132329","17",NULL,"1","6",NULL,"3.13"
"132330","5.397605346934028e-79",NULL,"1","7",NULL,"1.14"
"132331","37","30-39","1","3","3",NULL
"132332","80","60+","1","6","9","3.58"
"132333","16",NULL,"2","4",NULL,"2.16"
"132334","15",NULL,"2","4",NULL,"5"
"132335","13",NULL,"2","7",NULL,"0.48"
"132336","38","30-39","2","2","3","3"
"132337","49","40-49","2","3","5","4.14"
"132338","68","60+","1","4","2","0.69"
"132339","55","50-59","2","3","5","5"
"132340","60","60+","1","4","3","0.71"
"132341","28","18-29","2","3","4","4.1"
"132342","61","60+","2","3","4","1.3"
"132343","12",NULL,"1","1",NULL,"0.63"
"132344","75","60+","1","2","4","3.54"
"132345","5.397605346934028e-79",NULL,"2","6",NULL,NULL
"132346","9",NULL,"2","2",NULL,NULL
"132347","3",NULL,"1","4",NULL,"1.74"
"132348","35","30-39","1","3","5","5"
"132349","8",NULL,"1","2",NULL,"2.43"
"132350","77","60+","2","3","2","4.55"
"132351","27","18-29","2","2","5","5"
"132352","42","40-49","2","2","3",NULL
"132353","53","50-59","1","3","4","5"
"132354","58","50-59","2","3","5","5"
"132355","14",NULL,"1","3",NULL,"3.6"
"132356","49","40-49","1","1","1","0.06"
"132357","10",NULL,"2","1",NULL,NULL
"132358","40","40-49","2","3","4","3.6"
"132359","24","18-29","1","3","4","5"
"132360","10",NULL,"1","2",NULL,"1.09"
"132361","62","60+","1","3","5","4.32"
"132362","4",NULL,"1","3",NULL,NULL
"132363","80","60+","2","7","5","1.4"
"132364","24","18-29","1","3","3","5.397605346934028e-79"
"132365","5.397605346934028e-79",NULL,"1","3",NULL,"1"
"132366","79","60+","2","3","4","2.58"
"132367","7",NULL,"2","3",NULL,"5"
"132368","21","18-29","1","2","3","3.04"
"132369","9",NULL,"2","4",NULL,"2.78"
"132370","65","60+","1","3","3","4.44"
"132371","1",NULL,"1","7",NULL,NULL
"132372","44","40-49","1","3","4","1.96"
"132373","80","60+","2","3","5","5"
"132374","71","60+","2","1","1",NULL
"132375","64","60+","1","3","5","5"
"132376","25","18-29","1","3","5","5"
"132377","45","40-49","1","3","4","4.66"
"132378","74","60+","1","3","5","3.77"
"132379","13",NULL,"1","1",NULL,"0.68"
"132380","75","60+","2","7","4","3.04"
"132381","74","60+","1","3","5","5"
"132382","35","30-39","1","4","3",NULL
"132383","73","60+","2","3","4","1.47"
"132384","3",NULL,"1","1",NULL,"0.68"
"132385","56","50-59","1","7","2","1.7"
"132386","42","40-49","2","3","5","2.72"
"132387","37","30-39","2","3",NULL,NULL
"132388","8",NULL,"2","3",NULL,"2.77"
"132389","70","60+","2","3","4","2.33"
"132390","17",NULL,"1","3",NULL,"5"
"132391","35","30-39","1","3","5","5"
"132392","60","60+","1","4","2","1.3"
"132393","27","18-29","2","4","5","5"
"132394","16",NULL,"2","6",NULL,"5"
"132395","70","60+","2","3","3","1.54"
"132396","5.397605346934028e-79",NULL,"1","3",NULL,"1.01"
"132397","80","60+","2","4","4",NULL
"132398","31","30-39","1","2","5","0.94"
"132399","27","18-29","2","4","3","5.397605346934028e-79"
"132400","65","60+","2","7","4","1.32"
"132401","63","60+","2","3","4","1.98"
"132402","16",NULL,"2","3",NULL,"4.14"
"132403","58","50-59","1","1","3","1.6"
"132404","55","50-59","1","3","5","5"
"132405","3",NULL,"1","7",NULL,"1"
"132406","23","18-29","1","7","5","5"
"132407","32","30-39","2","2","5","5"
"132408","37","30-39","1","3","5",NULL
"132409","11",NULL,"2","2",NULL,"1.22"
"132410","51","50-59","1","3","4","2.88"
"132411","45","40-49","2","6","5","5"
"132412","38","30-39","2","6","5","5"
"132413","5",NULL,"2","4",NULL,"1.33"
"132414","2",NULL,"2","1",NULL,"0.68"
"132415","72","60+","2","3","3","5"
"132416","31","30-39","1","2","5","2.47"
"132417","64","60+","2","3","5","5"
"132418","18","18-29","1","1",NULL,"0.82"
"132419","36","30-39","2","4","5","1.39"
"132420","3",NULL,"2","2",NULL,"1.05"
